link,season,episode,title
https://transcripts.foreverdreaming.org/viewtopic.php?t=36455,10,20,Poops!... I Didn't Do It Again
https://transcripts.foreverdreaming.org/viewtopic.php?t=36389,10,19,The Handyman Can
https://transcripts.foreverdreaming.org/viewtopic.php?t=36291,10,18,Tappy Tappy Tappy Tap Tap Tap
https://transcripts.foreverdreaming.org/viewtopic.php?t=36142,10,17,Just the Trip
https://transcripts.foreverdreaming.org/viewtopic.php?t=36085,10,16,Flat-Top O' the Morning to Ya
https://transcripts.foreverdreaming.org/viewtopic.php?t=36042,10,15,Yurty Rotten Scoundrels
https://transcripts.foreverdreaming.org/viewtopic.php?t=36009,10,14,Wag the Song
https://transcripts.foreverdreaming.org/viewtopic.php?t=35970,10,13,Three Girls and a Little Wharfy
https://transcripts.foreverdreaming.org/viewtopic.php?t=35922,10,12,A Fish Called Tina
https://transcripts.foreverdreaming.org/viewtopic.php?t=35676,10,11,Drumforgiven
https://transcripts.foreverdreaming.org/viewtopic.php?t=35547,10,10,Have Yourself a Maily Linda Christmas
https://transcripts.foreverdreaming.org/viewtopic.php?t=35438,10,09,All That Gene
https://transcripts.foreverdreaming.org/viewtopic.php?t=35341,10,08,Now We're Not Cooking with Gas
https://transcripts.foreverdreaming.org/viewtopic.php?t=35276,10,07,Land of the Loft
https://transcripts.foreverdreaming.org/viewtopic.php?t=35153,10,06,The Hawkening: Look Who's Hawking Now
https://transcripts.foreverdreaming.org/viewtopic.php?t=34973,10,05,Legends of the Mall
https://transcripts.foreverdreaming.org/viewtopic.php?t=34687,10,04,Pig Trouble in Little Tina
https://transcripts.foreverdreaming.org/viewtopic.php?t=34618,10,03,"Motor, She Boat"
https://transcripts.foreverdreaming.org/viewtopic.php?t=34550,10,02,Boys Just Wanna Have Fungus
https://transcripts.foreverdreaming.org/viewtopic.php?t=34404,10,01,The Ring (But Not Scary)
https://transcripts.foreverdreaming.org/viewtopic.php?t=33622,08,21,"Something Old, Something New, Something Bob Caters for You"
https://transcripts.foreverdreaming.org/viewtopic.php?t=33621,08,20,Mission Impos-slug-ble
https://transcripts.foreverdreaming.org/viewtopic.php?t=33620,08,19,Mo Mommy Mo Problems
https://transcripts.foreverdreaming.org/viewtopic.php?t=33619,08,18,As I Walk Through the Alley of the Shadow of Ramps
https://transcripts.foreverdreaming.org/viewtopic.php?t=33618,08,17,Boywatch
https://transcripts.foreverdreaming.org/viewtopic.php?t=33617,08,16,"Are You There Bob? It's Me, Birthday"
https://transcripts.foreverdreaming.org/viewtopic.php?t=33616,08,15,Go Tina on the Mountain
https://transcripts.foreverdreaming.org/viewtopic.php?t=33612,09,22,Yes Without My Zeke
https://transcripts.foreverdreaming.org/viewtopic.php?t=33609,08,14,The Trouble With Doubles
https://transcripts.foreverdreaming.org/viewtopic.php?t=33608,08,13,Cheer Up Sleepy Gene
https://transcripts.foreverdreaming.org/viewtopic.php?t=33607,08,12,The Hurt Soccer
https://transcripts.foreverdreaming.org/viewtopic.php?t=33606,08,11,Sleeping with the Frenemy
https://transcripts.foreverdreaming.org/viewtopic.php?t=33605,08,10,The Secret Ceramics Room of Secrets
https://transcripts.foreverdreaming.org/viewtopic.php?t=33604,08,09,Y Tu Ga-Ga Tambien
https://transcripts.foreverdreaming.org/viewtopic.php?t=33603,08,08,V for Valentine-detta
https://transcripts.foreverdreaming.org/viewtopic.php?t=33602,08,06,08x07 - Bleakening Pts 1 & 2
https://transcripts.foreverdreaming.org/viewtopic.php?t=33593,08,05,Thanks-Hoarding
https://transcripts.foreverdreaming.org/viewtopic.php?t=33592,08,04,Sit Me Baby One More Time
https://transcripts.foreverdreaming.org/viewtopic.php?t=33591,08,03,The Wolf of Wharf Street
https://transcripts.foreverdreaming.org/viewtopic.php?t=33590,08,02,The Silence of the Louise
https://transcripts.foreverdreaming.org/viewtopic.php?t=33589,08,01,Brunchsquatch
https://transcripts.foreverdreaming.org/viewtopic.php?t=33532,09,21,P.T.A It Ain't So
https://transcripts.foreverdreaming.org/viewtopic.php?t=33523,07,22,Into the Mild
https://transcripts.foreverdreaming.org/viewtopic.php?t=33522,07,21,Paraders of the Lost Float
https://transcripts.foreverdreaming.org/viewtopic.php?t=33521,07,20,"Mom, Lies and Videotapes"
https://transcripts.foreverdreaming.org/viewtopic.php?t=33520,07,19,Thelma & Louise Except Thelma is Linda
https://transcripts.foreverdreaming.org/viewtopic.php?t=33519,07,18,The Laser-inth
https://transcripts.foreverdreaming.org/viewtopic.php?t=33518,07,17,Zero Larp Thirty
https://transcripts.foreverdreaming.org/viewtopic.php?t=33517,07,16,Eggs for Days
https://transcripts.foreverdreaming.org/viewtopic.php?t=33516,07,15,Ain't Miss Debatin'
https://transcripts.foreverdreaming.org/viewtopic.php?t=33515,07,14,Aquaticism
https://transcripts.foreverdreaming.org/viewtopic.php?t=33514,07,13,The Grand Mama-Pest Hotel
https://transcripts.foreverdreaming.org/viewtopic.php?t=33513,07,12,Like Gene For Chocolate
https://transcripts.foreverdreaming.org/viewtopic.php?t=33512,07,11,A Few 'Gurt Men
https://transcripts.foreverdreaming.org/viewtopic.php?t=33510,09,01,Just One of the Boyz 4 Now for Now
https://transcripts.foreverdreaming.org/viewtopic.php?t=33509,09,02,The Taking of Funtime One Two Three
https://transcripts.foreverdreaming.org/viewtopic.php?t=33508,09,03,Tweentrepreneurs
https://transcripts.foreverdreaming.org/viewtopic.php?t=33507,09,04,Nightmare on Ocean Avenue Street
https://transcripts.foreverdreaming.org/viewtopic.php?t=33506,09,05,Live and Let Fly
https://transcripts.foreverdreaming.org/viewtopic.php?t=33505,09,06,Bobby Driver
https://transcripts.foreverdreaming.org/viewtopic.php?t=33504,09,07,I Bob Your Pardon
https://transcripts.foreverdreaming.org/viewtopic.php?t=33479,09,20,The Gene Mile
https://transcripts.foreverdreaming.org/viewtopic.php?t=33380,09,19,"Long Time Listener, First Time Bob"
https://transcripts.foreverdreaming.org/viewtopic.php?t=33297,09,18,"If You Love It So Much, Why Don't You Marionette?"
https://transcripts.foreverdreaming.org/viewtopic.php?t=33205,09,17,What About Blob?
https://transcripts.foreverdreaming.org/viewtopic.php?t=33085,09,16,Roamin' Bob-iday
https://transcripts.foreverdreaming.org/viewtopic.php?t=33014,09,15,The Fresh Princ-ipal
https://transcripts.foreverdreaming.org/viewtopic.php?t=32854,09,14,Every Which Way But Goose
https://transcripts.foreverdreaming.org/viewtopic.php?t=32816,09,13,"Bed, Bob and Beyond"
https://transcripts.foreverdreaming.org/viewtopic.php?t=32555,09,12,The Helen Hunt
https://transcripts.foreverdreaming.org/viewtopic.php?t=32500,09,11,"Lorenzo's Oil? No, Linda's"
https://transcripts.foreverdreaming.org/viewtopic.php?t=32428,09,10,Better Off Sled
https://transcripts.foreverdreaming.org/viewtopic.php?t=32388,09,09,UFO No You Didn't
https://transcripts.foreverdreaming.org/viewtopic.php?t=32358,09,08,Roller? I Hardly Knew Her!
https://transcripts.foreverdreaming.org/viewtopic.php?t=31134,07,10,There's No Business Like Mr. Business Business
https://transcripts.foreverdreaming.org/viewtopic.php?t=31004,07,09,Bob Actually
https://transcripts.foreverdreaming.org/viewtopic.php?t=30484,07,08,Ex MachTina
https://transcripts.foreverdreaming.org/viewtopic.php?t=29980,07,07,The Last Gingerbread House on the Left
https://transcripts.foreverdreaming.org/viewtopic.php?t=29887,07,06,The Quirkducers
https://transcripts.foreverdreaming.org/viewtopic.php?t=29886,07,05,"Large Brother, Where Fart Thou?"
